N° progressivo;N° catalogo;Conferente;Anno;ID Par;Paragrafo;ID Arg;Argomento;ID Sub;Subargomento;ID TL;Tipo lotto;Simbolo;N° pezzi;Descrizione;Immagine;Col;B/N;Virata;Seppia;Foto;FG;GF;Colore;Titolo;Codice magazzino;Codice committente;Ragione sociale;Nota carico;Prezzo base;Off te 1;Offerta1;Off te 2;Offerta2;Off te 3;Offerta3;Off te 4;Offerta 4;Vincente;ad Euro;Riferimento Sassone;Indirizzo;Indirizzo 1
19415;551;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - 4 d con soprast. fortemente spostata verso l'alto "R. Commissariato" in basso (N. 24 e). Catal. € 52,50.;;1;0;0;0;0;0;;;;;;;;€ 18,00;;;;;;0;;;;;0024e;;
19416;552;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - 4 d con soprast. fortemente spostata verso l'alto "R. Commissariato Civile" in basso (N. 24 g).;;1;0;0;0;0;0;;;;;;;;€ 18,00;;;;;;0;;;;;0024g;;
19417;553;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Soprast. 0,50 d su 1,50 d (N. 39), la soprast. "R. Commissariato..." fortemente spostata verso il basso (N. 39 h) e soprast. "0,50" fortemente spostata verso destra (N. 39 ea), cade sopra la parola "Lubiana". Rara e non catalogata combinazione d;;1;0;0;0;0;0;;;;;;;;€ 90,00;;;;;;0;;;;;0039;;
19418;554;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Soprast. con nuovo valore 0,50 (N. 39 n), con nitido decalco della soprast. "o,50". Ottima qualità.;;1;0;0;0;0;0;;;;;;;;€ 10,00;;;;;;0;;;;;0039n;;
19419;555;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Soprast. con nuovo valore 1 din (N. 40 n), con nitido decalco della soprast. "1 din". Splendida quartina. Catal. € 90,00+.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0040n;;
19420;;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Non emesso 25 p con soprast. "Alto Commissariato..." capovolta (N. 61 a). Splendido, bordo di foglio, firmato A. Diena + G. Bolaffi. Raro, catal. € 1.650,00. Foto.;;1;0;0;0;0;0;;;;;;;;€ 550,00;;;;;;0;;;;;0061a;;
19421;557;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo con linguella;;1;Lubiana - Posta aerea soprast. "R. Commissariato" ecc. (PA 1/ 10). Ottima qualità, linguella leggera, catal. € 800,00.;;1;0;0;0;0;0;;;;;;;;€ 250,00;;;;;;0;;;;;0001;;
19422;558;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Posta Aerea - 40 d con la soprast. del 50 d (N. 9 a). Splendido e raro, firmato A. Diena. Catal. € 1.800,00. Foto.;;1;0;0;0;0;0;;;;;;;;€ 600,00;;;;;;0;;;;;009a;;
19423;559;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Segnatasse - 2 d, quartina con soprast. "Co. Ci." fortemente spostata verso destra - "a cavallo" (4 x N. 3 f). Ottima qualità, catal. € 300,00.;;1;0;0;0;0;0;;;;;;;;€ 100,00;;;;;;0;;;;;0003f;;
19424;560;;1941;;OCCUPAZIONI ITALIANE II;;Lubiana;;;;Nuovo senza linguella;;1;Lubiana - Segnatasse - Soprast. "R. Commissariato Civile..." (N. 6/ 10). Ottima qualità, tutti con timbrino peritale. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 75,00;;;;;;0;;;;;0006;;
19136;292;;1932;;ITALIA REGNO;;;;;;Usato;;1;Dante Alighieri solo posta ordinaria (N. 303/ 14), annulli non garantiti. Catal. € 700,00 per annulli originali.;;1;0;0;0;0;0;;;;;;;;€ 100,00;;;;;;0;;;;;0303;;
19137;293;;1932;;ITALIA REGNO;;;;;;Nuovo senza linguella;;1;Garibaldi compl. (N. 315/ 24 + PA 32/ 38). Catal. € 725,00.;;1;0;0;0;0;0;;;;;;;;€ 230,00;;;;;;0;;;;;0315;;
19138;294;;1932;;ITALIA REGNO;;;;;;Nuovo senza linguella;;1;Decennale Marcia su Roma compl. (N. 325/ 40 + PA 42/ 43 + Espr. 17/ 18). Catal. € 612,50.;;1;0;0;0;0;0;;;;;;;;€ 175,00;;;;;;0;;;;;0325;;
19139;295;;1932;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Decennale Marcia su Roma compl. (N. 325/ 40 + PA 42/ 43 + Espr. 17/ 18). Linguella leggerissima, catal. € 245,00.;;1;0;0;0;0;0;;;;;;;;€ 80,00;;;;;;0;;;;;0325;;
19140;296;;1934;;ITALIA REGNO;;;;;;Nuovo senza linguella;;1;Calcio compl. (N. 357/ 61 + PA 69/ 72). Catal. € 750,00.;;1;0;0;0;0;0;;;;;;;;€ 250,00;;;;;;0;;;;;0357;;
19141;297;;1934;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Calcio compl. (N. 357/ 61 + PA 69/ 72). Catal. € 300,00.;;1;0;0;0;0;0;;;;;;;;€ 85,00;;;;;;0;;;;;0357;;
19142;298;;1934;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Medaglie al valore compl. (N. 366/ 76 + PA 74/ 82). Linguella in genere molto leggera. Catal. € 280,00.;;1;0;0;0;0;0;;;;;;;;€ 80,00;;;;;;0;;;;;0366;;
19143;299;;1935;;ITALIA REGNO;;;;;;Usato;;1;Milizia IV serie compl. (N. 380/ 83 + PA 89), annulli dell'epoca. Catal. € 145,00.;;1;0;0;0;0;0;;;;;;;;€ 45,00;;;;;;0;;;;;0380;;
19144;300;;1935;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Bellini compl. (N. 388/ 93 + PA 90/ 94). Linguella molto leggera. Catal. € 350,00.;;1;0;0;0;0;0;;;;;;;;€ 110,00;;;;;;0;;;;;0388;;
